prediction,probability_yes
0,0.04350536021798346
1,0.4695585484207046
0,0.07490469812531847
1,0.548863664838158
1,0.9958156443491313
0,0.04278706256457639
1,0.9674425728017398
0,0.0970359207407204
1,0.9802354842343244
0,0.13741928512482599
0,0.18291218623811153
1,0.9040980329583268
1,0.85543893535679
1,0.5862027375167316
0,0.012150723745661158
0,0.1626789071695418
1,0.8328260634687721
1,0.9644156965866458
0,0.03350055494681982
0,0.08237431040396037
0,0.15480157575119638
0,0.09471443354105867
1,0.7411884255200629
1,0.8902852542340286
1,0.8492978002849703
0,0.048498815851309766
0,0.08287250341657415
0,0.023861629175482485
0,0.10634190397506692
0,0.12624285359993823
0,0.044753456326051655
1,0.490154054942465
1,0.9418397658977865
0,0.1126928869838633
1,0.8711534349617782
1,0.8530228714522078
1,0.9129141725085352
0,0.32774545720036
1,0.9001592607759095
1,0.8738986617259524
0,0.11745963564335626
0,0.16433615815644617
0,0.21258768668786673
0,0.2155104828515864
1,0.9256768104314677
1,0.8534839119382898
0,0.048360207704150296
0,0.03353436891624172
0,0.07749785057736727
0,0.02985825232947553
0,0.02070658057383732
1,0.96296540968828
0,0.10707537835937826
1,0.9464448105602353
1,0.76014317474117
0,0.06574619365967806
0,0.0107575045414577
1,0.8620844553104134
1,0.9731341660076934
0,0.37819995988721317
0,0.04703340420473436
1,0.5
1,0.8454993913713793
1,0.47361950438490114
0,0.34278241902439505
0,0.011038132488578585
0,0.17985741710493955
1,0.6327941129973451
0,0.31020320207436164
1,0.7603411685623368
0,0.017172438161001995
0,0.04189144298774146
0,0.4532240366550564
1,0.9900490917441396
0,0.11884133356466002
0,0.019239555511595646
1,0.9238957520402892
1,0.47028729613889747
0,0.08369807066257261
1,0.9028094666456729
1,0.9711391916150001
1,0.8484518410513825
0,0.03979306826324967
0,0.4244559341272157
0,0.13376545413986315
1,0.7670126216383343
1,0.9803949671889279
1,0.9178921279604486
0,0.05944901373965306
1,0.5
0,0.1164500629254896
1,0.8593206876172877
1,0.8438145365978875
1,0.5101859606894477
0,0.3544374793343536
0,0.08758473485289005
1,0.7694727544416131
1,0.8124865798821264
0,0.2846055112037491
0,0.02801194594988689
0,0.05567146829196027
1,0.962950002934003
0,0.2756331968600724
1,0.6992860214353671
0,0.03668746346683809
0,0.07017218006808136
1,0.6578881151233406
1,0.9548765754820107
0,0.07600597826321703
1,0.8097752323812126
0,0.051137932699914804
1,0.9378654669187985
0,0.05451357150565095
1,0.7417127696440777
1,0.8924969549317844
0,0.36176526460741
0,0.005379189721954964
1,0.4917339325183824
0,0.365110975705523
0,0.32355076892340384
0,0.34068266180935747
0,0.016790075777882243
0,0.001179856708738174
0,0.03427618253189063
1,0.47478096293676453
1,0.8292724052206775
0,0.013698819914584331
1,0.7442956090840397
0,0.3095107976652994
1,0.9099123082663254
1,0.73146161601721
0,0.22661740194131894
1,0.9374227018340668
0,0.12392973048164845
0,0.20170168069522135
0,0.06690573968634671
1,0.9031881953352539
0,0.4455906540618853
1,0.7793907334739307
1,0.773862919230845
0,0.05598781066617869
0,0.040101922820881174
1,0.6473542775409267
0,0.4611521335271608
0,0.3224515805407803
0,0.0781302093881455
0,0.12393894773335594
0,0.34001172212956793
1,0.7227120633319065
0,0.06758453953712491
1,0.6534033529782753
0,0.11972629865479086
0,0.34984436583274936
0,0.4055961082947635
0,0.018655790740043074
0,0.022910641631487566
0,0.03164697958754983
1,0.9301212224366459
0,0.01264495280230553
0,0.039736866299452306
0,0.05284979989166979
0,0.17966274262446752
